Altium Designer Pick and Place Locations
C:\Users\Klimpel\AppData\Local\TempReleases\Snapshot\1\Custom - 1\PICK_PLACE\PICK_PLACE_G1868_V2526.csv

========================================================================================================================
File Design Information:

Date:       21.08.26
Time:       09:28
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"C113","BottomLayer","110,5325","61,2540","180"
"C132","TopLayer","45,3390","84,8614","270"
"C131","TopLayer","76,4032","101,4730","90"
"C130","TopLayer","83,9587","69,1056","0"
"C129","TopLayer","103,1012","58,8944","180"
"IC35","TopLayer","99,0000","64,0000","270"
"C32","TopLayer","26,6435","23,1126","180"
"C38","TopLayer","26,6208","25,5706","0"
"C46","TopLayer","30,6608","26,0966","90"
"C35","TopLayer","23,5582","32,7239","0"
"TP70","TopLayer","117,8560","63,8048","0"
"TP68","TopLayer","78,6502","79,6700","270"
"TP67","TopLayer","78,6384","77,2160","270"
"TP66","TopLayer","99,3902","51,8414","180"
"TP65","TopLayer","85,3186","50,8508","180"
"TP64","TopLayer","148,8440","86,7410","0"
"TP63","TopLayer","148,9000","81,0000","180"
"TP62","TopLayer","121,9200","64,1096","270"
"TP61","TopLayer","25,0444","87,1220","0"
"TP60","TopLayer","4,2418","87,0712","0"
"TP59","TopLayer","183,7944","89,6112","180"
"TP58","TopLayer","4,1148","90,8304","0"
"TP57","TopLayer","184,0738","85,5472","0"
"TP56","TopLayer","134,4203","22,5228","0"
"TP55","TopLayer","21,2591","22,3018","0"
"TP53","TopLayer","171,5008","22,3495","0"
"TP52","TopLayer","58,8759","22,4579","0"
"TP51","TopLayer","96,7001","22,5302","0"
"TP50","TopLayer","184,5280","26,1103","0"
"TP49","TopLayer","179,0000","23,9746","0"
"TP48","TopLayer","182,0642","33,0445","180"
"TP47","TopLayer","175,1048","21,6047","180"
"TP46","TopLayer","170,5072","30,9871","90"
"TP45","TopLayer","166,2945","26,1766","180"
"TP44","TopLayer","147,4806","26,3442","0"
"TP43","TopLayer","128,7673","26,4839","0"
"TP42","TopLayer","141,9860","23,9776","0"
"TP41","TopLayer","123,0695","23,9941","0"
"TP40","TopLayer","160,6735","23,9878","0"
"TP39","TopLayer","163,6021","33,0346","0"
"TP38","TopLayer","144,8644","33,0752","180"
"TP37","TopLayer","125,8971","33,1895","180"
"TP36","TopLayer","156,8450","21,4376","180"
"TP35","TopLayer","138,0243","21,6100","180"
"TP34","TopLayer","119,2530","21,4630","180"
