Testdatum;2026-07-07
Batch-Nr.;Widerstandsmessung

Zeit;t [ms];Zustand;Zyklus;Zyklen gesamt;I1 [A];I2 [A];I3 [A];I4 [A];I5 [A];I6 [A];I7 [A];I8 [A];I9 [A];I10 [A];U1 [V];U2 [V];U3 [V];U4 [V];U5 [V];U6 [V];U7 [V];U8 [V];U9 [V];U10 [V];T1 [°C];T2 [°C];T3 [°C];T4 [°C];T5 [°C];T6 [°C];Lüfter rechts [1/min];Lüfter links [1/min];Defekt
2026-07-07 15:56:39;0;IDLE;0;10;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;24,87;24,62;24,87;24,69;24,56;24,75;0;0;
2026-07-07 15:56:40;1026;RUNNING;0;4;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,064;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;24,94;24,56;24,81;24,69;24,56;24,75;0;0;
2026-07-07 15:56:41;2025;RUNNING;0;4;0,032;0,017;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,150;0,060;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;24,94;24,62;24,81;24,69;24,62;24,75;0;0;
2026-07-07 15:56:42;3026;RUNNING;0;4;0,054;0,039;0,019;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,233;0,142;0,073;0,000;0,000;0,000;0,000;0,000;0,000;0,000;24,94;24,62;24,87;24,69;24,56;24,75;0;0;
2026-07-07 15:56:43;4027;RUNNING;0;4;0,075;0,061;0,042;0,018;0,000;0,000;0,000;0,000;0,000;0,000;0,318;0,229;0,160;0,065;0,000;0,000;0,000;0,000;0,000;0,000;24,94;24,62;24,87;24,69;24,56;24,75;0;0;
2026-07-07 15:56:44;5027;RUNNING;0;4;0,096;0,083;0,062;0,040;0,018;0,000;0,000;0,000;0,000;0,000;0,399;0,311;0,240;0,149;0,080;0,000;0,000;0,000;0,000;0,000;24,94;24,62;24,87;24,69;24,56;24,75;0;0;
2026-07-07 15:56:45;6027;RUNNING;0;4;0,118;0,104;0,084;0,061;0,039;0,018;0,000;0,000;0,000;0,000;0,480;0,396;0,324;0,231;0,161;0,099;0,000;0,000;0,000;0,000;24,94;24,62;24,87;24,69;24,56;24,75;0;0;
2026-07-07 15:56:46;7028;RUNNING;0;4;0,139;0,125;0,106;0,083;0,061;0,040;0,019;0,000;0,000;0,000;0,563;0,478;0,407;0,316;0,243;0,180;0,123;0,000;0,000;0,000;24,94;24,62;24,81;24,69;24,62;24,75;600;600;
2026-07-07 15:56:47;8028;RUNNING;0;4;0,161;0,147;0,127;0,104;0,083;0,061;0,040;0,019;0,000;0,000;0,645;0,562;0,487;0,398;0,325;0,260;0,206;0,098;0,000;0,000;24,87;24,56;24,81;24,69;24,56;24,75;300;300;
2026-07-07 15:56:48;9029;RUNNING;0;4;0,182;0,168;0,149;0,125;0,104;0,083;0,061;0,040;0,018;0,000;0,728;0,646;0,571;0,479;0,408;0,345;0,287;0,180;0,097;0,000;24,94;24,62;24,81;24,69;24,56;24,75;600;300;
2026-07-07 15:56:49;10029;RUNNING;0;4;0,204;0,190;0,171;0,147;0,125;0,104;0,083;0,061;0,040;0,018;0,809;0,728;0,653;0,564;0,490;0,426;0,368;0,259;0,181;0,100;24,87;24,62;24,81;24,69;24,56;24,75;600;300;
2026-07-07 15:56:50;11029;RUNNING;0;4;0,225;0,212;0,193;0,168;0,147;0,125;0,104;0,084;0,061;0,040;0,892;0,810;0,736;0,644;0,573;0,509;0,452;0,344;0,264;0,183;24,87;24,62;24,81;24,69;24,56;24,75;600;300;
2026-07-07 15:56:51;12029;RUNNING;0;4;0,247;0,234;0,214;0,190;0,168;0,147;0,125;0,105;0,083;0,061;0,973;0,895;0,820;0,730;0,657;0,592;0,531;0,426;0,343;0,264;24,87;24,56;24,87;24,69;24,56;24,75;600;300;
2026-07-07 15:56:52;13029;RUNNING;0;4;0,268;0,255;0,236;0,211;0,190;0,168;0,147;0,126;0,104;0,083;1,054;0,979;0,903;0,813;0,738;0,674;0,614;0,509;0,425;0,351;24,87;24,56;24,87;24,69;24,56;24,75;600;600;
2026-07-07 15:56:53;14029;RUNNING;0;4;0,290;0,276;0,257;0,232;0,211;0,190;0,168;0,149;0,126;0,104;1,137;1,060;0,985;0,895;0,822;0,755;0,695;0,590;0,508;0,430;24,87;24,56;24,81;24,69;24,56;24,75;600;300;
2026-07-07 15:56:54;15029;RUNNING;0;4;0,311;0,298;0,279;0,253;0,232;0,211;0,190;0,170;0,147;0,125;1,220;1,144;1,067;0,979;0,905;0,838;0,778;0,672;0,589;0,513;24,87;24,56;24,81;24,69;24,56;24,75;600;600;
2026-07-07 15:56:55;16029;RUNNING;0;4;0,333;0,319;0,300;0,275;0,253;0,232;0,211;0,192;0,169;0,147;1,302;1,228;1,150;1,062;0,987;0,920;0,859;0,755;0,672;0,597;24,87;24,56;24,81;24,69;24,56;24,75;600;600;
2026-07-07 15:56:56;17029;RUNNING;0;4;0,354;0,341;0,322;0,296;0,275;0,254;0,233;0,214;0,190;0,168;1,385;1,311;1,234;1,144;1,068;1,004;0,942;0,838;0,755;0,680;24,87;24,56;24,81;24,69;24,50;24,75;600;600;
2026-07-07 15:56:57;18029;RUNNING;0;4;0,376;0,362;0,344;0,318;0,297;0,275;0,255;0,236;0,212;0,191;1,468;1,393;1,315;1,226;1,152;1,086;1,024;0,921;0,840;0,761;24,87;24,56;24,81;24,69;24,50;24,75;600;600;
2026-07-07 15:56:58;19029;RUNNING;0;4;0,397;0,384;0,365;0,340;0,318;0,297;0,276;0,257;0,234;0,211;1,549;1,477;1,399;1,310;1,235;1,167;1,105;1,004;0,920;0,842;24,87;24,56;24,81;24,69;24,50;24,69;600;600;
2026-07-07 15:56:59;20029;RUNNING;0;4;0,419;0,406;0,388;0,360;0,340;0,318;0,297;0,279;0,256;0,233;1,632;1,559;1,481;1,394;1,318;1,254;1,188;1,084;1,003;0,925;24,87;24,56;24,81;24,69;24,50;24,75;600;900;
2026-07-07 15:57:00;21029;RUNNING;0;4;0,441;0,428;0,409;0,382;0,361;0,339;0,319;0,300;0,277;0,255;1,713;1,643;1,561;1,477;1,400;1,333;1,271;1,167;1,084;1,008;24,87;24,56;24,81;24,69;24,50;24,69;900;900;
2026-07-07 15:57:01;22029;RUNNING;0;4;0,462;0,448;0,432;0,403;0,382;0,361;0,340;0,322;0,298;0,276;1,794;1,724;1,646;1,559;1,482;1,413;1,352;1,250;1,168;1,091;24,87;24,56;24,81;24,69;24,50;24,69;900;900;
2026-07-07 15:57:02;23029;RUNNING;0;4;0,483;0,470;0,453;0,425;0,404;0,382;0,362;0,344;0,321;0,298;1,877;1,808;1,729;1,643;1,565;1,498;1,433;1,333;1,251;1,173;24,87;24,50;24,81;24,69;24,50;24,69;900;900;
2026-07-07 15:57:03;24029;RUNNING;0;4;0,505;0,492;0,475;0,446;0,426;0,403;0,383;0,366;0,342;0,320;1,960;1,892;1,811;1,725;1,648;1,579;1,515;1,415;1,332;1,256;24,81;24,50;24,81;24,69;24,50;24,69;900;900;
2026-07-07 15:57:04;25029;RUNNING;0;4;0,526;0,513;0,496;0,468;0,447;0,425;0,405;0,387;0,363;0,341;2,042;1,974;1,895;1,809;1,730;1,661;1,598;1,498;1,415;1,337;24,87;24,50;24,81;24,69;24,50;24,69;900;900;
2026-07-07 15:57:05;26029;RUNNING;0;4;0,548;0,535;0,518;0,489;0,469;0,446;0,426;0,409;0,385;0,362;2,125;2,057;1,976;1,889;1,814;1,742;1,679;1,579;1,497;1,418;24,87;24,50;24,81;24,69;24,44;24,69;900;900;
2026-07-07 15:57:06;27029;RUNNING;0;4;0,569;0,557;0,540;0,511;0,490;0,467;0,448;0,431;0,407;0,384;2,208;2,141;2,060;1,973;1,897;1,825;1,762;1,662;1,580;1,501;24,87;24,50;24,81;24,69;24,44;24,69;900;900;
2026-07-07 15:57:07;28029;RUNNING;0;4;0,591;0,578;0,561;0,532;0,511;0,489;0,469;0,452;0,429;0,406;2,289;2,223;2,142;2,056;1,977;1,908;1,843;1,744;1,661;1,583;24,87;24,50;24,81;24,69;24,44;24,69;900;900;
2026-07-07 15:57:08;29029;RUNNING;0;4;0,612;0,600;0,583;0,553;0,533;0,510;0,491;0,474;0,450;0,427;2,370;2,307;2,225;2,138;2,060;1,991;1,924;1,827;1,742;1,666;24,81;24,44;24,81;24,69;24,44;24,69;1200;1200;
2026-07-07 15:57:09;30029;RUNNING;0;4;0,634;0,621;0,606;0,575;0,554;0,532;0,512;0,496;0,471;0,449;2,452;2,388;2,309;2,222;2,144;2,073;2,006;1,908;1,826;1,747;24,81;24,44;24,75;24,69;24,44;24,69;1200;1200;
2026-07-07 15:57:10;31029;RUNNING;0;4;0,655;0,643;0,627;0,596;0,576;0,553;0,533;0,518;0,493;0,470;2,536;2,472;2,390;2,306;2,227;2,156;2,087;1,991;1,907;1,829;24,81;24,44;24,75;24,69;24,44;24,69;1200;900;
2026-07-07 15:57:11;32029;RUNNING;0;4;0,678;0,664;0,649;0,617;0,598;0,575;0,556;0,539;0,514;0,492;2,617;2,554;2,472;2,387;2,309;2,237;2,168;2,073;1,990;1,912;24,81;24,44;24,75;24,69;24,44;24,69;1200;1200;
2026-07-07 15:57:12;33029;RUNNING;0;4;0,699;0,686;0,671;0,640;0,619;0,596;0,577;0,561;0,537;0,514;2,700;2,639;2,556;2,471;2,390;2,319;2,253;2,156;2,073;1,995;24,81;24,44;24,75;24,69;24,44;24,69;1200;1200;
2026-07-07 15:57:13;34029;RUNNING;0;4;0,721;0,708;0,692;0,661;0,642;0,617;0,598;0,583;0,558;0,535;2,782;2,721;2,639;2,553;2,474;2,402;2,334;2,237;2,155;2,076;24,81;24,44;24,75;24,69;24,37;24,69;1200;1200;
2026-07-07 15:57:14;35029;RUNNING;0;4;0,743;0,729;0,715;0,682;0,663;0,639;0,620;0,604;0,579;0,557;2,865;2,805;2,723;2,637;2,555;2,483;2,415;2,319;2,238;2,157;24,81;24,44;24,75;24,69;24,37;24,69;1200;1200;
2026-07-07 15:57:15;36029;RUNNING;0;4;0,764;0,751;0,737;0,703;0,684;0,661;0,642;0,627;0,601;0,579;2,946;2,887;2,804;2,720;2,640;2,566;2,497;2,402;2,319;2,240;24,81;24,37;24,75;24,69;24,37;24,62;1200;1200;
2026-07-07 15:57:16;37029;RUNNING;0;4;0,786;0,772;0,758;0,725;0,706;0,683;0,663;0,648;0,623;0,599;3,029;2,971;2,886;2,802;2,722;2,649;2,580;2,485;2,400;2,322;24,81;24,37;24,75;24,69;24,37;24,62;1200;1200;
2026-07-07 15:57:17;38029;RUNNING;0;4;0,808;0,795;0,780;0,747;0,727;0,704;0,684;0,670;0,644;0,621;3,112;3,056;2,971;2,886;2,805;2,732;2,663;2,567;2,484;2,403;24,81;24,37;24,75;24,69;24,37;24,69;1200;1800;
2026-07-07 15:57:18;39029;RUNNING;0;4;0,829;0,815;0,802;0,768;0,749;0,725;0,706;0,692;0,666;0,643;3,193;3,138;3,050;2,970;2,887;2,814;2,744;2,650;2,567;2,486;24,81;24,37;24,69;24,69;24,37;24,69;1200;1500;
2026-07-07 15:57:19;40029;RUNNING;0;4;0,851;0,837;0,823;0,790;0,771;0,747;0,728;0,714;0,688;0,664;3,276;3,220;3,137;3,053;2,971;2,895;2,827;2,733;2,648;2,571;24,81;24,31;24,75;24,69;24,37;24,69;1200;1500;
2026-07-07 15:57:20;41029;RUNNING;0;4;0,872;0,859;0,846;0,811;0,793;0,768;0,749;0,736;0,709;0,686;3,357;3,303;3,220;3,135;3,052;2,978;2,908;2,816;2,733;2,652;24,81;24,31;24,69;24,69;24,37;24,62;1500;1500;
